id|startDate|endDate|addedDate|uuid|partialTime|team_id|deliverable_id|discipline_id
31892|1610928000000|1611878400000|1645042427807|34eec870-44c5-5567-81ce-56567db3269e|1|111|1025|1386
31893|1612137600000|1613088000000|1645042427807|918064b0-58b4-5186-8877-e3d7a795ca0f|1|111|1025|1386
31894|1613347200000|1614297600000|1645042427807|e6182af0-8fda-5584-9a62-3374a0805e5c|1|111|1025|1386
31895|1625097600000|1626393600000|1645042427807|c478605a-a146-5cc6-a16b-c2dbe03a96c6|1|111|1025|1386
31896|1626652800000|1627603200000|1645042427807|8b28564a-8988-5db5-8b17-fa0f02577f08|1|111|1025|1386
31897|1627862400000|1628812800000|1645042427807|477069f3-a77d-5ad9-9e54-22a366f61e49|1|111|1025|1386
31898|1629072000000|1630022400000|1645042427807|d4034589-14d3-5241-bb85-82fbca542867|1|111|1025|1386
31899|1630281600000|1631232000000|1645042427807|d00cc435-6e3a-5fad-bfd8-516c1c6d380e|1|111|1025|1386
31900|1631491200000|1632960000000|1645042427807|591af102-8162-52a4-aa9d-1bbdc4258011|1|111|1025|1386
31901|1633046400000|1634256000000|1645042427807|a31c215a-2325-5c02-8212-fa17b3dec38c|1|111|1025|1386
31902|1633046400000|1634256000000|1645042427807|6e623dea-0206-59a8-a7d1-b044884da5af|0|111|1025|1386
31903|1634515200000|1635465600000|1645042427807|556499b2-ad81-53dd-9b90-2cf6e56fc15d|0|111|1025|1386
31904|1634515200000|1635465600000|1645042427807|8dfd17a9-b79b-55ac-a368-702b8734fddc|1|111|1025|1386
31905|1635724800000|1636675200000|1645042427807|7f58f15c-1364-53e9-a0a4-7ac636d314ca|0|111|1025|1386
31906|1635724800000|1636675200000|1645042427807|cec49f23-2a59-5483-a471-090d2fd3b576|1|111|1025|1386
31907|1636934400000|1637884800000|1645042427807|bb569b2c-ac19-5c35-bedd-f6af4e282fc3|0|111|1025|1386
31908|1636934400000|1637884800000|1645042427807|1604b538-00e4-51b2-88f1-bb4c8971ee0a|0|111|1025|1386
31909|1638144000000|1639094400000|1645042427807|455a150a-7c95-5643-a7da-b21b68154104|0|111|1025|1386
31910|1638144000000|1639094400000|1645042427807|72d9bc2f-745e-522b-9fab-b1bb06ff7d58|0|111|1025|1386
31911|1639353600000|1640908800000|1645042427807|f4e5cf5c-8af5-5715-8568-e954c0d9e244|0|111|1025|1386
31912|1639353600000|1640908800000|1645042427807|ad286b5d-6769-53f4-a9cb-741348f9392a|0|111|1025|1386
31913|1641254400000|1642723200000|1645042427807|3ca42454-2f90-5d37-853b-c821c967190d|0|111|1025|1386
31914|1641254400000|1642723200000|1645042427807|b8b3707d-970c-52b4-9513-12887d770a0a|0|111|1025|1386
31915|1641254400000|1642723200000|1645042427807|3e9013ad-0634-54c8-b982-22a722bb315a|0|111|1025|1386
31916|1641254400000|1642723200000|1645042427807|b07f2e99-856c-54df-99a3-8dd0f04031a1|0|111|1025|1386
31917|1642809600000|1643932800000|1645042427807|f7dee436-b746-5b1a-9f73-73028e48d031|0|111|1025|1386
31918|1642809600000|1643932800000|1645042427807|33e5493d-b720-5627-ba49-26cba22025ff|0|111|1025|1386
31919|1644019200000|1645142400000|1645042427807|c210f546-d258-5f08-83e2-21adf7619a48|0|111|1025|1386
31920|1645228800000|1646352000000|1645042427807|2cd5ad97-f9b9-54f5-b280-6ebafc99344f|0|111|1025|1386
31921|1646438400000|1647561600000|1645042427807|f4a2cced-2f2a-5add-a2a3-df8e76b0641c|0|111|1025|1386
31922|1647648000000|1648771200000|1645042427807|fb97d0eb-66ac-5ad0-ba31-622937d9744e|0|111|1025|1386
31923|1609459200000|1610668800000|1645042427807|825d42bc-3a13-5574-8a80-aa41ed7a9282|1|112|1025|1387
31924|1625097600000|1626393600000|1645042427807|03a9f2fd-a42e-56ab-b6b3-f09720aec4ee|1|112|1025|1387
31925|1625097600000|1626393600000|1645042427807|eee03a81-014f-51ee-a0f9-f150eba19bd8|1|112|1025|1387
31926|1626652800000|1627603200000|1645042427807|98293abd-e18e-5fb7-8a7f-f03b2cee7e5a|1|112|1025|1387
31927|1626652800000|1627603200000|1645042427807|cc1d7ac5-ac3e-5296-8cf1-b168263abf2a|1|112|1025|1387
31928|1627862400000|1628812800000|1645042427807|eaafcbc8-7577-515b-a660-6195c9ed7dfb|1|112|1025|1387
