deliverable_id|team_id
537|15
537|25
639|28
959|28
210|6
211|6
731|44
213|33
960|32
214|30
961|11
961|15
961|18
961|21
961|30
961|32
962|8
962|13
962|14
962|16
962|17
962|23
962|44
963|8
963|13
963|14
963|16
963|23
963|26
963|33
963|44
735|18
736|18
737|8
737|18
964|1
964|2
964|3
964|4
964|5
964|6
964|9
964|10
964|11
964|12
964|13
964|14
964|15
964|16
964|17
964|19
964|20
964|23
964|24
964|25
964|26
964|27
964|28
964|32
964|33
964|34
964|35
964|38
964|39
964|40
964|41
964|43
964|44
964|45
964|47
964|50
964|54
965|5
965|14
965|16
222|14
222|16
222|44
966|26
421|14
421|17
421|32
967|39
226|11
968|14
968|32
968|49
835|43
229|8
229|14
229|17
229|32
230|32
969|42
232|6
233|9
233|14
233|24
233|40
234|15
234|25
235|19
741|19
741|37
970|19
644|20
644|47
971|8
971|13
971|14
971|16
971|17
743|13
743|16
743|18
972|13
241|9
241|14
241|24
242|6
243|6
244|6
245|6
246|6
246|8
246|9
246|14
246|17
246|37
246|40
246|46
973|6
973|8
973|9
973|14
973|26
973|37
973|40
248|10
974|8
974|21
974|31
838|4
838|8
838|9
838|14
838|20
838|40
838|47
650|20
746|26
975|26
976|3
976|5
976|11
976|12
976|14
976|15
976|19
976|25
976|26
976|29
976|30
976|33
976|34
976|36
976|42
549|6
549|8
549|11
549|14
549|45
550|1
749|1
977|26
257|43
258|43
841|45
260|42
261|6
842|8
842|11
978|9
978|11
752|11
979|42
265|11
266|36
267|19
268|36
654|8
654|30
654|32
753|4
753|8
753|9
753|37
753|40
753|46
558|20
558|40
980|2
980|6
980|8
980|14
980|17
980|20
980|26
980|37
980|40
980|47
754|19
755|16
981|25
981|33
981|37
981|39
844|43
276|19
277|14
277|20
845|8
845|30
279|29
982|29
281|2
282|8
282|26
283|54
983|8
983|26
984|8
984|12
984|14
984|19
984|21
984|49
846|30
757|20
757|37
757|40
288|13
288|33
848|14
848|17
848|39
848|43
849|43
431|10
431|17
985|8
985|14
985|17
985|23
851|18
986|13
986|14
986|16
986|17
986|18
986|23
987|8
987|13
987|14
987|15
987|17
987|39
987|44
987|45
298|54
299|33
988|4
988|5
988|7
301|12
302|12
764|12
764|19
764|26
989|29
304|41
305|42
570|29
570|42
307|29
308|47
309|8
309|13
309|14
309|16
854|13
854|44
311|5
766|16
990|8
990|13
990|14
990|15
990|16
990|19
990|30
990|44
991|4
991|5
991|6
991|7
991|9
991|14
991|49
856|30
315|43
770|16
770|45
436|8
436|14
436|24
318|4
318|5
318|6
992|10
320|12
320|20
993|3
772|13
772|14
772|18
772|23
772|33
772|44
323|34
324|20
324|47
325|47
326|29
328|27
994|27
329|10
330|6
995|5
332|12
333|8
333|12
333|14
335|52
337|43
857|43
339|27
340|52
341|38
342|8
342|38
343|16
344|8
344|14
344|16
344|44
996|12
346|8
346|14
346|16
346|17
346|23
346|33
347|16
348|38
349|38
350|32
997|37
998|13
999|13
1000|3
1001|8
1001|13
1001|16
1001|18
1001|23
1002|13
858|46
860|13
860|16
860|18
861|18
782|18
774|8
774|13
774|14
774|17
774|23
774|26
774|37
774|40
774|46
774|49
781|13
781|18
666|8
351|2
351|4
351|5
351|7
351|8
351|12
351|13
351|14
351|15
351|16
351|17
351|20
351|23
351|26
351|37
351|40
351|44
351|49
363|54
353|18
358|43
361|8
362|54
355|47
364|25
356|16
356|20
356|23
356|32
356|44
865|43
376|19
583|14
583|17
583|38
378|4
378|5
378|7
378|9
379|10
379|23
380|6
866|33
1003|44
383|33
1004|4
1004|7
785|19
1005|36
387|8
387|32
388|18
389|6
586|28
391|8
391|13
391|14
391|16
391|23
786|34
868|8
868|32
868|45
1006|1
394|1
671|28
1007|8
1007|21
1007|31
1008|10
397|28
788|8
788|11
788|13
399|36
1|55
1011|56
7|57
9|57
1012|14
1012|8
1012|58
1012|57
1012|59
1012|60
875|57
29|61
30|62
1013|14
1013|8
1013|57
1013|63
1013|59
1013|60
481|64
481|60
1014|14
1014|8
1014|57
1014|59
1014|60
885|57
35|65
35|66
39|61
484|61
887|67
1015|68
1015|8
1016|18
1016|57
1016|32
1017|14
1017|60
1017|32
1018|14
1018|60
1018|32
50|56
1019|14
1019|8
1019|65
1019|59
1019|60
